ItemCategoryPath,Name,Count,Kategorie,Unterkategorie,Produkt,Material1,Material2,Coating
305;320,%,8,Schaukasten,Z-Line,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),"eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
305;308,%,16,Schaukasten,"XS indoor",*,"Aluminium (Rahmen)","magnethaftendes Metall (Rückwand)","eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
305;312,%,6,Schaukasten,P Outdoo,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),"eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
305;310,%,9,Schaukasten,SL indoor,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),"eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
305;306,%,14,Schaukasten,s outdoor,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),"eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
305;309,%,10,Schaukasten,t outdoor,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),"eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
305;318,%,12,Schaukasten,t outdoor ständer,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),"eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
305;313,%,40,Schaukasten,t outdoor color,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),pulverbeschichtet
305;428,%,10,Schaukasten,t outdoor led,*,Aluminium (Rahmen),magnethaftendes Metall (Rückwand),"eloxiert (Rahmen), Marker-beschreibbare Beschichtung (Rückwand)"
354;357,%,1,Türschilder / Namensschilder,Acrylpostertaschen,*,transparentes Acryl (Rahmen),,
354;360,%,2,Türschilder / Namensschilder,Namensschilder,*,glasklares Polystyrol,,
354;358,%,14,Türschilder / Namensschilder,Türschilder Acryl,*,transparentes Acryl (Rahmen),Aluminium (Halterung),eloxiert (Halterung)
354;355,%,20,Türschilder / Namensschilder,Türschilder CURVED,*,Aluminium (Rahmen),,eloxiert (Rahmen)
354;356,%,11,Türschilder / Namensschilder,Türschilder SNAP,*,Aluminium (Rahmen),Kunststoff (Rückwand),eloxiert (Rahmen)
354;359,%,2,Türschilder / Namensschilder,Türschildhalterung Alu,*,Aluminium,,eloxiert
292,Visitenkartenhalter%,7,Visitenkartenhalter,*,*,glasklares Polystyrol (Prospekthalter),,
284,%aufsteller%,53,"Werbeaufsteller (Acryl)",*,*,"transparentes Acryl (Rahmen)",,
365,%,-1,Werbeplakate nach *,*,*,Papier 250 g/qm,,
408,%,-1,Werbeplakate nach *,*,*,Papier 250 g/qm,,
321,Whiteboard%Email%,6,Whiteboards,*,Email,Stahl,,beschreibbar emailliert (Oberfläche)
321,Whiteboard%Lack%,6,Whiteboards,*,Lack,Stahl,,beschreibbar lackiert (Oberfäche)
